question,answer,keywords
"The figure below is the plot of potential energy versus internuclear distance (𝑑) of H2 molecule in the electronic ground state. What is the value of the net potential energy 𝐸o (as indicated in the figure) in kJ mol -1 , for 𝑑 = 𝑑o at which the electron-electron repulsion and the nucleus-nucleus repulsion energies are absent? As a reference, the potential energy of the H atom is taken as zero when its electron and the nucleus are infinitely far apart. Use Avogadro constant as 6.023 × 10 23 m...",P. E of 2 H-atoms Total eng = P.E./2 Potential Energy = 2 Total Energy E = -13.6 × z 2 /n 2 ev/atom = –2 × 13.6 × z 2 /n 2 ev/atom + (–2 × 13.6 × z 2 /n 2 ) ev/ atom = –2 × 2 × 13.6 × 1 x ev/atom = –4 × 13.6 × 1.6 × 10 -19 J/atom × 6.023 × 10 23 atom/mole = –4 × 13.6 × 1.6 × 6.023 ×10 4 J/mole = –5242.42 KJ/mol,electron potential plot molecule energy atom atomic_structure
One mole of a monatomic gas satisfies the equation P(V - b) = RT Where b is a constant. The relationship of interatomic potential V(r ) and interatomic distance r for the gas is given by;,"Given equation = P(V − b) = RT. If we compare it with van der Waals' equation, i.e., [P + a / V 2 ] [V−b] = RT, we get a = 0. Therefore, only repulsive forces are present that contribute only at a very close distance. As a result, the potential energy will increase abruptly indicating that graph (C) is correct. The dominance of repulsive force can be confirmed using the compressibility factor. P(V − b) = RT PV = Pb + RT PV / RT = Pb / RT +1",potential equation force ph graph energy atom
"X and Y are two volatile liquids with molar weights of 10 gmol -1 and 40 gmol -1 respectively. Two cotton plugs, one soaked in X and the other soaked in Y, are simultaneously placed at the ends of a tube of length L = 24 cm, as shown in the figure. The tube is filled with an inert gas at 1 atmosphere pressure and a temperature of 300K. Vapours of X and Y react to form a product which is first observed at a distance of d cm from the plug soaked in X. Take X and Y to have equal molecular diamet...","Rate of diffusion α 1 / Molecular − weight Let distance covered by X be ′d′ and distance covered by Y is ′24 − d′ Now, rx / ry= d / 24 − d ⟹ d / 24 − d = √40 / 10 ⟹ d = 16cm Since the time taken must be the same for both the gases, the distance travelled will be in the ratio 2:1. We divide the tube into 3 parts, each part has a length of 8 cm. Hence, the distance d = 16 cm (because of the ratio of distances/velocities being 2:1).",ratio pressure ph temperature
The experimental value of d is found to be smaller than the estimate obtained using Graham’s law. This is due to; A. Larger mean free path for X as compared to that of Y B. Larger mean free path for Y as compared to that of X C. Increased collision frequency of Y with the inert gas as compared to that of X with the inert gas D. Increased collision frequency of X with the inert gas as compared to that of Y with the inert gas,"The experimental value of d is found to be smaller than the estimate obtained using Graham's law. This is due to the increased collision frequency of X with the inert gas as compared to that of Y with inert gas. With the increase in the collision frequency, the molecular speed decreases than expected so the distance covered will be less.",frequency collision
"If the distribution of molecular speeds of gas is as per the figure shown below, then the ratio of the most probable, the average, and the root mean square speeds, respectively, is. A. 1 : 1 : 1 B. 1 : 1 : 1.224 C. 1 : 1.128 : 1.224 D. 1 : 1.128 : 1","The graph represents a symmetrical distribution of speed and hence, the most probable and the average speed should be the same. But the root mean square speed must be greater than the average speed. According to distribution of molecular speed curve, Umps = √2RT / mol.wt. Uavg = √8RT / 𝜋mol.wt. Urms = √3RT / mol.wt. Umps : Uavg : Urms = √2 : √8 / 𝜋 : √31 : 1.128 : 1.224",ratio ph graph
"The qualitative sketches I, II and III given below show the variation of surface tension with molar concentration of three different aqueous solutions of KCl, CH3OH and CH3 (CH2 )11OSO3 -Na + at room temperature. The correct assignment of the sketches is: A. I : KCl; II : CH3OH; II I : CH3 (CH2 )11OSO3 -Na + B. I : CH3 (CH2 )11OSO3 -Na + II : CH3OH ; III : KCl C. I : KCl ; II : CH3 (CH2 )11OSO3 -Na + ; III : CH3OH D. I : C3OH; II : KCl ; III : CH3 (CH2 )11OSO3 -Na +","C3OH; II : KCl ; III : CH3 (CH2 )11OSO3 -Na + The surface tension of a liquid is affected to some extent by impurities. Some of them which tend to concentrate on the surface of liquids, compared to its bulk lower the surface tension. Compounds such as detergents and soaps CH3 (CH2 )11OSO3 -Na + decrease the surface tension considerably. On the other hand, alcohol (eg.CH3OH,C2H5OH) tends to lower the surface tension only slightly. It is mainly due to CH3OH having a smaller dielectric constant. The dielectric constant is directly proportional to surface tension. If we add CH3OH in water, the overall dielectric constant decreases and thereby surface tension also decreases. Inorganic impurities present in the bulk of a liquid also have a tendency to increase the surface tension of water. Strong electrolytes such as KCl increase the surface tension slightly.",electric organic ratio concentration compound temperature proportion
Which of the following statement(s) is (are) correct regarding the root mean square speed (Urms ) and average translational kinetic energy (∈av ) of a molecule in a gas at equilibrium? A. Urms is doubled when its temperature is increased four times B. ∈av is doubled when its temperature is increased four times C. ∈av at a given temperature does not depend on its molecular mass D. Urms is inversely proportional to the square root of its molecular mass,"The root mean square speed (Urms) and average translational kinetic energy (ϵav) has following relation with temperature and molecular mass ϵav = √3 / 2 RT, Urms = √3RT / M and Urms ∝ √1 / M ∴ ϵav doesn't depend on its molecular mass. If we consider the above-given relation, ϵav gets doubled when the temperature is increased by 2 times. So we can say that option B is incorrect. Thus, the correct options are A, C, and D.",equilibrium proportion chemical_equilibrium molecule energy temperature kinetic mass
"A student uses a simple pendulum of exactly 1m length to determine g, the acceleration due to gravity. He uses a stopwatch with the least count of 1 sec for this and records 40 seconds for 20 oscillations. For this observation, which of the following statement(s) is (are) true? (A) Error △T in measuring T, the time period is 0.05 seconds (B) Error △T in measuring T, the time period is 1 second (C) Percentage error in the determination of g is 5% (D) Percentage error in the determination of g ...","The relative error in the measurement of time, Δt/t = 1s/40s =1/40 Time period, T= 40s/20 =2s Error in the measurement of the time period, ΔT=T× (Δt/t) =2s × (1/40) =0.05s The time period of a simple pendulum is, T =2π√(l/g) Therefore, T 2=(4π 2 l)/g ⇒ g = (4π 2 l)/T 2 Therefore, (Δg/g) = 2ΔT/T =2× (0.05/2) = 0.05 (Δg/g) x 100 = 0.05 x 100 = 5%",ratio acceleration pendulum oscillation
"To verify Ohm’s law, a student is provided with a test resistor RT, a high resistance R1 , a small resistance R2 , two identical galvanometers G1 and G2 , and a variable voltage source V. The correct circuit to carry out the experiment is",c,voltage
"Which of the given statement(s) about N, O, P, Q with respect to M is/are correct? A. M and N are non-mirror image stereoisomers B. M and O are identical C. M and P are enantiomers D. M and Q are identical","Since, M and N have – OH on the same side and opposite side respectively, they cannot be mirror images, they are diastereomers. M and O are identical M and P are enantiomers Hence, the correct options are a,b and c.",isomer
"Among the complex ions given below, [Co(NH2 - CH2 - CH2 - NH2 )2Cl2 ] + , [CrCl2 (C2O4 )2 ] 3- , [Fe(H2O)4 (OH)2 ] + , [Fe(NH3 )2 (CN)4 ] - , [Co(NH2 - CH2 - CH2 - NH2 )2 (NH3 )Cl] 2+ and [Co(NH3 )4 (H2O)Cl] 2+ ], The number of complex ion(s) that show(s) cis-trans isomerism is(are).",All the complexes given show cis-trans isomerism.,isomer complex
"The number of isomers of C6H14 is, A. 4 B. 5 C. 6 D. 7",The IUPAC name of C6H14 is hexane. It has 5 structural isomers.,isomer
The given structure shows: A. Geometrical isomerism B. Optical isomerism C. Geometrical isomerism and Optical isomerism D. Tautomerism,"The compound doesn't show geometrical isomerism because one carbon atom attached to a double bond has the same substituent group (−CH3 ), however, it can show optical isomerism, because it has one optically active chiral carbon atom.",carbon bond isomer atom compound
"Which of the following compounds will exhibit geometrical isomerism? A. 1 - phenyl - 2 - butene B. 3 - phenyl - 1 -butene C. 2 - phenyl - 1 - butene D. 1,1 - diphenyl - 1 - propene",If we look in 1-phenyl-2-butene (C6H5CH2CH = ChC⋅H3 ) we will see that both the carbon atoms of the double bond have different substituents which as a result will show geometrical isomerism. Due to Cab = Cad two isomers are possible.,carbon bond ph isomer atom compound
Which kind of isomerism is exhibited by octahedral Co(NH3 )4Br2Cl? A. Geometrical and ionisation B. Geometrical and optical C. Optical and ionisation D. Geometrical only,"Octahedral Co(NH3 )4Br2Cl shows ionisation and geometrical isomerism. In ionisation isomerism, the ligands that are shown in the coordination sphere and the anions present outside the coordination sphere are exchanged with each other. It can be represented in the following manner. The coordination number of the central atom (cobalt) is six and the shape is octahedral Thus, both geometrical and ionization isomerism are exhibited by octahedral Co(NH3 )4Br2Cl.",isomer ph coordination atom
The pair of coordination complexes/ions exhibiting the same kind of isomerism is: A. [Cr(NH3 )5Cl]Cl2 and [Cr(NH3 )4Cl2 ]Cl B. [Co(NH3 )4Cl2 ] + and [Pt(NH3 )2 (H2O)Cl] + C. [CoBr2Cl2 ] 2- and [PtBr2Cl2 ] 2- D. [Pt(NH3 )3 (NO3 )]Cl and [Pt(NH3 )3Cl]Br,The pairs of coordination complexes/ions exhibiting the same kind of isomerism are: Octahedral [Co(NH3 )4Cl2 ] +and square planar [Pt(NH3 )2 (H2O)Cl] + show geometrical (cis-trans) isomerism. Square planar [Pt(NH3 )3 (NO3 )]Cl and square planar [Pt(NH3 )3Cl]Br shows ionization isomerism.,isomer coordination complex
The compound(s) that exhibit(s) geometrical isomerism is: A. [Pt(en)Cl2 ] B. [Pt(en)2 ]Cl2 C. [Pt(en)2Cl2 ]Cl2 D. [Pt(NH3 )2 ][Cl2 ],"The possible structures by [Pt(en)2Cl2 ]Cl2 are as follows. So, option C shows geometrical isomerism. For option D which is [Pt(NH3 )2 ][Cl2 ], the possible structures by this compound are as follows. This also shows geometrical isomerism.",compound isomer
"Which of the following compounds exhibits, stereoisomerism? A. 2-methyl butene-1 B. 3-methyl butyne-1 C. 3-methyl butanoic acid D. 2-methyl butanoic acid",2–methyl butanoic acid has a chiral carbon (4 different groups are attached) hence optically active.,compound isomer carbon acid
The total number(s) of stable conformers with non-zero dipole moment for the following compound is (are): A. 2 B. 4 C. 3 D. 5,Three stable (staggered) conformers exist (with μ ≠ 0,compound
". Consider all possible isomeric ketones, including stereoisomers of MW = 100. All these isomers are independently reacted with NaBH4 . (NOTE: stereoisomers are also r","The molecular weight of the ketone is 100 So, molecular formula = C6H12O [6 × 12 + 12 × 1 + 16]. Degree of unsaturation = (6 + 1) - 12 / 2 = 1 According to the question, the compound contains a ketone group. The compound which contains a chiral centre will form a diastereomer while others produce enantiomers. Various isomers and their possible reduced product are as shown below.",ratio compound isomer formula
"After completion of the reactions (I and II), the organic compound(s) in the reaction mixtures is(are): A. Reaction I : P and reaction II: P B. Reaction I: U, acetone and reaction II: Q, acetone C. Reaction I: T, U acetone and reaction II: P D. Reaction I: R, acetone and reaction II: S, acetone","When acetone reacts with Br2 in a basic medium, bromoform is formed. When CH3COCH3 and Br2 are in equimolar quantity, all the Br2 (limiting reactant) is converted into desired products and 2/3 mole of CH3COCH3 remains unreacted, being in excess. When acetone reacts with Br2 in an acidic medium, there is monobromination of acetone. CH3COCH3 and Br2 react in a 1:1 mole ratio and (P) are formed. In reaction, I, (U) and (T) are formed and acetone (reactant) remains unreacted. In reaction II, (P) is",organic acid ratio reaction compound
The correct order of acid strength of the following carboxylic acids is: A. III > II > I > IV B. I > II > III > IV C. I > III > II > IV D. II > I > IV > III,Stronger will be the acid when its conjugate base is highly stabilised. (I) is the most acidic and (IV) is the least since CO2 - group is attached with an sp hybridised carbon in (I) and with an sp 3 hybridised carbon in (IV). (III) is less acidic than (II) as the electron-donating group (−OMe) destabilises the carboxylate anion by increasing the electron density in the ring. Hence the order is: I > II > III > IV,electron carbon acid base atomic_structure
The sodium salt of an organic acid 'X' produces effervescence with conc. H2SO4 . 'X' reacts with the acidified aqueous CaCl2 solution to give a white precipitate that decolourises the acidic solution of KMnO4 . 'X' is A. C6H5COONa B. HCOONa C. CH3COONa D. Na2C2O4,d,organic acid
The correct order of acidity for the following compound is: A. I > II > III > IV B. III > I > II > IV C. III > IV > II > I D. I > III > IV > II,"Due to ortho-effect, (I) and (II) are stronger acids than (III) and (IV). Due to two ortho hydroxyl groups in (I), it is a stronger acid than (II). (Ill) is a stronger acid than (IV) because at m-position, −OH group cannot exert its +R effect but can only exert its −I effect while at p− position, −OH group exerts its strong +R effect. Thus, the correct order of acidity is I > II > III > IV. Stable the conjugate base, stronger the acid.o-hydroxybenzoic acid is more acidic than the corresponding para isomer because the carboxylate ion formed from ortho hydroxybenzoic acid attains stability due to intermolecular hydrogen bonding. But in the case of the para isomer, the -OH group shows a +R effect, which increases the electron density and hence the stability of the corresponding carboxylate ion is less compared to the ortho and the meta hydroxybenzoic acids.",electron acid bond isomer hydrogen base atomic_structure compound
